am_sid,sciname,iucn_sid,area_total,area_am,area_iucn,area_overlap,sm_perc,sm_range,area_ratio,lg_area_pct
URM-Cn-5604,Oulastrea crispata,132859,11163349,6143414.3,9610987.2,4591052.54933775,74.731,AM,63.921,48.522
SLB-62998,Psammocora stellata,132860,3180464.5,2432985.2,1961441.9,1213962.63921776,61.891,IUCN,80.619,12.283
SLB-117548,Cycloseris costulata,132864,12581753.1,5485177.6,11131017.3,4034441.85518605,73.552,AM,49.278,56.196
URM-Cn-4877,Montipora angulata,132866,13310040.8,11276148.4,10557634.1,8523741.7207971,80.735,IUCN,93.628,56.929
URM-Cn-4750,Acropora florida,132869,14192905.3,10313593.3,12904568.5,9025256.53122638,87.508,AM,79.922,65.15
URM-Cn-5952,Pectinia elongata,132871,6544421.1,2042694.5,6253736.3,1752009.64910822,85.77,AM,32.664,31.573
URM-Cn-5888,Scolymia lacera,132874,3756957.7,2190123.2,1994437.7,427603.224470681,21.44,IUCN,91.065,11.057
URM-Cn-5982,Pocillopora kelleheri,132875,6663967,5667840.2,3001949.8,2005822.93336113,66.817,IUCN,52.965,28.615
URM-Cn-4973,Leptoseris tubulifera,132876,6505307.2,3307910.3,5396015.4,2198618.49002169,66.465,AM,61.303,27.242
URM-Cn-5759,Fungia fralinae,132877,3907759.7,1891394.3,3682481.6,1666116.18773609,88.089,AM,51.362,18.591
URM-Cn-5549,Favia maxima,132878,12253559.4,5039798.3,11652173.3,4438412.2378818,88.067,AM,43.252,58.827
URM-Cn-4995,Pavona venosa,132880,15525432.8,11436066.4,13692316.4,9602949.96162282,83.971,AM,83.522,69.127
URM-Cn-5572,Goniastrea australensis,132883,14491932.2,6194337.4,13382409.7,5084814.89929703,82.088,AM,46.287,67.562
URM-Cn-5508,Colpophyllia natans,132884,2248724.1,1337472.9,2163448.8,1252197.64409008,93.624,AM,61.821,10.922
URM-Cn-4965,Leptoseris hawaiiensis,132885,17199472.6,13602045.8,14017008.8,10419581.9292948,76.603,AM,97.04,70.766
URM-Cn-4910,Montipora hodgsoni,132892,7040985.3,5777116.8,5445516.7,4181648.18254617,76.791,IUCN,94.26,29.166
URM-Cn-5557,Favia veroni,132894,12333090.4,5368772.2,11602940.1,4638621.93431384,86.4,AM,46.271,58.579
URM-Cn-5894,Symphyllia radians,132900,15883691,13128206.3,13120216.2,10364731.5329881,78.998,IUCN,99.939,66.279
URM-Cn-4970,Leptoseris solida,132903,12210861.8,8177866.4,8871298.2,4838302.79214816,59.163,AM,92.183,44.788
URM-Cn-4848,Acropora turaki,132909,8612939.7,6584709.7,6701847.2,4673617.13701088,70.977,AM,98.252,33.835
URM-Cn-4992,Pavona maldivensis,132911,18091529.5,15018027,15166786.9,12093284.3457674,80.525,AM,99.019,76.571
URM-Cn-5470,Turbinaria irregularis,132916,9296136.8,2547098.7,9011712.7,2262674.5498034,88.833,AM,28.264,45.496
URM-Cn-4958,Gardineroseris planulata,132917,18882437.5,15874009.9,15535267.5,12526839.8533883,80.635,IUCN,97.866,80.141
URM-Cn-5985,Pocillopora woodjonesi,132923,12875921.5,10147208.8,11373572.5,8644859.80350488,85.194,AM,89.217,57.421
SLB-61850,Leptoseris striata,132927,6919639.2,2105246.8,6581022.1,1766629.62944814,83.916,AM,31.99,33.225
URM-Cn-5953,Pectinia lactuca,132928,13479979.3,8618545.3,12275344.7,7413910.63583519,86.023,AM,70.21,61.973
URM-Cn-4854,Acropora willisae,132931,12447671,8193755,10334541.2,6080625.08117406,74.21,AM,79.285,52.175
URM-Cn-4723,Acropora carduus,132933,11731163.3,10827638,6358464.1,5454938.76701712,85.79,IUCN,58.724,54.664
URM-Cn-4807,Acropora plumosa,132935,6491045.5,5100120.9,5349092.1,3958167.49316289,77.609,AM,95.346,27.005
URM-Cn-4710,Acropora acuminata,132940,12735269.7,7721655.5,11789417.3,6775803.08883531,87.751,AM,65.496,59.52
SLB-93057,Montipora patula,132942,172783.8,69062.2,172783.8,69062.1766333369,100,AM,39.97,0.872
URM-Cn-5465,Turbinaria bifrons,132957,10306377.3,4455926,8546824,2696372.6974309,60.512,AM,52.135,43.149
URM-Cn-5892,Symphyllia erythraea,132962,1462839.5,739140.7,1256238.3,532539.477416603,72.048,AM,58.838,6.342
URM-Cn-5591,Manicina areolata,132963,2388291.3,2100033.7,2025270.6,1737012.94712175,85.767,IUCN,96.44,10.602
URM-Cn-5485,Euphyllia yaeyamaensis,132967,10118687,8213611.1,7440467.3,5535391.41190878,74.396,IUCN,90.587,41.467
URM-Cn-5779,Halomitra clavator,132968,2344957.8,1891394.3,767788.1,314224.552856139,40.926,IUCN,40.594,9.549
URM-Cn-4774,Acropora listeri,132969,13516345.5,9315183.4,11666822.3,7465660.21881997,80.145,AM,79.843,58.901
URM-Cn-4954,Agaricia lamarcki,132970,2093146.1,1405868.9,2001761.9,1314484.67333069,93.5,AM,70.232,10.106
URM-Cn-4800,Acropora paniculata,132972,10766785.1,8356634.1,8615481.8,6205330.79243548,74.256,AM,96.996,43.496
SLB-62368,Plerogyra discus,132974,6349341.6,4365440.8,5260090.7,3276189.88695125,75.048,AM,82.992,26.556
URM-Cn-4937,Montipora stilosa,132977,2485180.4,1895641.6,1834312.6,1244773.81551431,67.861,IUCN,96.765,9.57
URM-Cn-5590,Leptoria phrygia,132980,15569121.2,7999240.2,14617463.8,7047582.82607277,88.103,AM,54.724,73.798
URM-Cn-5584,Leptastrea bottae,132983,13113874.4,9034260.5,9105184.8,5025570.95437811,55.628,AM,99.221,45.968
URM-Cn-4736,Acropora derawanensis,132984,6155705.5,4996026.4,5004259.4,3844580.3164249,76.953,AM,99.835,25.264
URM-Cn-5524,Echinopora gemmacea,132987,16235671.1,11470427.5,13933486.1,9168242.58231841,79.929,AM,82.323,70.345
URM-Cn-4777,Acropora longicyathus,132988,14619431.4,11131586.9,12227759.2,8739914.78475621,78.515,AM,91.035,61.733
URM-Cn-4790,Acropora multiacuta,132990,8711469.8,7013136.6,6525341.6,4827008.35079836,73.973,IUCN,93.045,35.406
URM-Cn-6123,Coscinaraea crassa,132991,9592045.1,5941954.3,7750171.6,4100080.84487899,69.002,AM,76.669,39.127
URM-Cn-4761,Acropora humilis,132992,16199038.7,11931678.7,13959617.6,9692257.59932764,81.231,AM,85.473,70.476
URM-Cn-5772,Fungia seychellensis,132996,1677689.7,1431876.7,960418.4,714605.361947106,74.406,IUCN,67.074,7.229
SLB-117497,Seriatopora stellata,133002,10356621.6,8036035.2,7548818.1,5228231.7267447,69.259,IUCN,93.937,40.571
URM-Cn-5583,Leptastrea bewickensis,133003,10420596.6,5513587,7628858.6,2721849.04440636,49.366,AM,72.273,38.515
URM-Cn-4798,Acropora palmata,133006,2117279.7,1410920.9,2040852.7,1334493.88171565,94.583,AM,69.134,10.303
URM-Cn-4917,Montipora malampaya,133007,6079812.3,4393021.4,4911304.5,3224513.61140694,73.401,AM,89.447,24.795
URM-Cn-5775,Fungia spinifer,133008,4210962.9,1891394.3,3991838.3,1672269.73605974,88.415,AM,47.382,20.153
SLB-117488,Pocillopora ankeli,133011,6013436.6,4495754.3,5045766,3528083.73025934,78.476,AM,89.1,25.474
URM-Cn-4755,Acropora grandis,133013,14868490.4,11267053.2,12488881.1,8887443.97604444,78.88,AM,90.217,63.051
URM-Cn-4841,Acropora tenuis,133020,16157489.9,12278697.3,14030936.4,10152143.7487052,82.681,AM,87.512,70.837
URM-Cn-6062,Porites lichen,133023,14334370.9,6172007.5,13507477.3,5345113.97587959,86.603,AM,45.693,68.194
URM-Cn-5827,Merulina scabricula,133024,12740033.8,5208787,12140761.3,4609514.39706347,88.495,AM,42.903,61.294
URM-Cn-4850,Acropora vaughani,133025,13156443.7,9541216.8,11858137.9,8242910.95966563,86.393,AM,80.461,59.867
SLB-117486,Mycedium mancaoi,133026,8338177.6,2160621.3,7954051.3,1776494.92004689,82.221,AM,27.164,40.157
URM-Cn-5552,Favia rotumana,133029,15157966,3976410.8,14779452.5,3597897.36370355,90.481,AM,26.905,74.615
URM-Cn-4897,Montipora effusa,133031,13145746.4,11350225,8037868,6242346.61464725,77.662,IUCN,70.817,57.303
URM-Cn-5869,Lobophyllia flabelliformis,133032,9797816.1,8907043,6402082.1,5511309.0322627,86.086,IUCN,71.877,44.968
URM-Cn-4813,Acropora pulchra,133033,14857603.9,11340449.2,12710179.8,9193025.12578632,81.064,AM,89.223,64.169
SLB-189121,Cycloseris fragilis,133034,14187857.7,6706527.5,13501825.4,6020495.13923297,89.771,AM,49.671,68.165
SLB-117471,Cycloseris patelliformis,133034,14187857.7,6706527.5,13501825.4,6020495.13923297,89.771,AM,49.671,68.165
URM-Cn-6069,Porites nigrescens,133038,13298444.7,1796400.8,13261645,1759601.10252701,97.951,AM,13.546,66.953
URM-Cn-6135,Psammocora digitata,133043,14827185.1,12147658.4,12511815.2,9832288.52026874,80.94,AM,97.089,63.167
SLB-158820,Pocillopora ligulata,133045,6049610.4,5451341.3,1312501.1,714231.99055179,54.418,IUCN,24.077,27.522
URM-Cn-4861,Anacropora spinosa,133046,7825255.1,5869289.3,5934132.3,3978166.49996792,67.779,AM,98.907,29.959
URM-Cn-5887,Scolymia cubensis,133053,3019522.9,2433066.4,2705411.8,2118955.26007502,87.09,AM,89.933,13.659
URM-Cn-5564,Favites halicora,133055,13883561,6478114.4,13180761.3,5775314.73442107,89.151,AM,49.148,66.544
URM-Cn-5482,Euphyllia paradivisa,133057,4667711.8,2775251.3,4207260,2314799.50211918,83.409,AM,65.963,21.241
URM-Cn-5930,Echinophyllia echinata,133058,13005210.8,6137516.6,11507508.4,4639814.18690513,75.598,AM,53.335,58.097
URM-Cn-5617,Platygyra verweyi,133059,10525364.9,7265440.7,9199086.8,5939162.58495434,81.745,AM,78.98,46.442
URM-Cn-4899,Montipora florida,133064,5120605.3,3227050.9,4552550.2,2658995.8165426,82.397,AM,70.884,22.984
URM-Cn-4913,Montipora informis,133066,16718245,14039476.5,14520872.7,11842104.1742425,84.349,AM,96.685,73.31
URM-Cn-5601,Montastrea colemani,133070,11678643.5,9467492.7,8411294.3,6200143.56863205,73.712,IUCN,88.844,47.798
URM-Cn-4901,Montipora foliosa,133071,16462533.1,12788824,14051515.9,10377806.7669416,81.147,AM,91.014,70.94
URM-Cn-5873,Lobophyllia robusta,133076,13255901.3,10391042.7,9577099.3,6712240.74360122,70.086,IUCN,92.167,52.46
URM-Cn-4770,Acropora kirstyae,133081,8515328.5,5187806.8,7069203.9,3741682.26441688,72.125,AM,73.386,35.69
URM-Cn-6064,Porites lutea,133082,16436337.3,6450764.7,15874924.7,5889352.07415535,91.297,AM,40.635,80.146
SLB-62376,Barabattoia amicorum,133084,13414332,6565188,12677657.2,5828513.14607845,88.779,AM,51.785,64.004
URM-Cn-4836,Acropora subglabra,133087,11977938,9375094.3,10816297.7,8213453.94629897,87.609,AM,86.676,54.607
URM-Cn-5528,Echinopora lamellosa,133088,16037960.1,9499566.5,14756518.4,8218124.74637303,86.511,AM,64.375,74.5
URM-Cn-5935,Echinophyllia patula,133089,7690451.2,1891394.3,7504925.9,1705869.05109194,90.191,AM,25.202,37.889
URM-Cn-5587,Leptastrea purpurea,133090,16939098.9,10233777.7,15680692.4,8975371.20009738,87.703,AM,65.264,79.165
URM-Cn-4866,Astreopora incrustans,133092,8798476,7295308.9,5512070.7,4008903.68910479,72.73,IUCN,75.556,36.831
URM-Cn-6138,Psammocora nierstraszi,133094,15345407.2,11110862.3,12732681,8498136.07827607,76.485,AM,87.263,64.282
SLB-158798,Porites columnaris,133096,1585096.5,1375484.3,835443.1,625831.037053379,74.91,IUCN,60.738,6.944
SLB-117490,Pocillopora danae,133097,9090747.7,7533084.8,6383936.4,4826273.48685099,75.6,IUCN,84.745,38.031
URM-Cn-5977,Pocillopora elegans,133099,11075110.5,9261402.2,6638728.3,4825020.02609627,72.68,IUCN,71.682,46.757
URM-Cn-5849,Acanthastrea hillae,133106,13816056.1,9418372.6,12416498.7,8018815.21141143,85.14,AM,75.854,62.686
URM-Cn-5901,Galaxea acrhelia,133109,5944994,3750825.2,4484518.5,2290349.65355869,61.063,AM,83.639,22.641
URM-Cn-5750,Ctenactis crassa,133110,12271307,6126103.2,11426016.6,5280812.84365621,86.202,AM,53.615,57.685
SLB-61810,Montipora saudii,133111,506039.3,286318.5,488745.8,269025.098166782,93.96,AM,58.582,2.467
URM-Cn-4724,Acropora caroliniana,133112,8662637.1,7030440.4,5543233.9,3911037.18154519,70.555,IUCN,78.846,35.494
URM-Cn-4880,Montipora cactus,133113,6067057.3,4123881,4934734.4,2991558.01687234,72.542,AM,83.568,24.913
SLB-93474,Acropora retusa,133115,11803755.7,10010561.6,6528650,4735455.95696516,72.533,IUCN,65.218,50.539
SLB-61654,Acropora latistella,133120,16516553.5,12495180.5,13400753,9379380.05145875,75.064,AM,93.242,67.655
URM-Cn-6145,Siderastrea glynni,133121,114414,83966.4,30447.5,0,0,IUCN,36.262,0.424
SLB-158750,Dendrogyra cylindrus,133124,3095149.8,2359887.1,1976661.2,1241398.56300296,62.803,IUCN,83.761,11.914
URM-Cn-5896,Symphyllia valenciennesii,133127,16404506.3,13677552,13808612.1,11081657.8111753,81.021,AM,99.051,69.714
URM-Cn-4872,Astreopora ocellata,133129,13869320.4,10476922.3,11449364.1,8056966.0421412,76.902,AM,91.507,57.803
URM-Cn-4903,Montipora friabilis,133131,11415254.9,9091460.4,7498276.3,5174481.77840176,69.009,IUCN,82.476,45.899
URM-Cn-4714,Acropora aspera,133132,13542309.3,11995499.3,10985783.6,9438973.65925305,85.92,IUCN,91.583,60.56
URM-Cn-4708,Acropora abrolhosensis,133133,9013733.2,7498361.8,5178288.5,3662917.10819665,70.736,IUCN,69.059,37.856
URM-Cn-5592,Montastraea annularis,133134,3770257.7,3344431.7,2141157.7,1715331.65037662,80.112,IUCN,64.022,16.885
SLB-184813,Isopora palifera,133139,14961050.3,11222369.6,13045661.3,9306980.59754357,82.932,AM,86.024,65.862
URM-Cn-5096,Cladocora caespitosa,133142,1502646.5,1333772.6,1032310.8,863436.913869593,83.641,IUCN,77.398,6.734
W-Hyd-210726,Millepora alcicornis,133144,4123923.5,3143987.4,1971565.3,991629.149251076,50.297,IUCN,62.709,15.873
URM-Cn-5008,Stylocoeniella cocosensis,133145,6440945.1,5428185,4600458.6,3587698.47364941,77.986,IUCN,84.751,27.405
URM-Cn-5751,Ctenactis echinata,133148,13754703,10077614.7,12544894.2,8867805.8997759,87.995,AM,80.332,63.334
URM-Cn-5542,Favia lacuna,133151,640540.2,286202.2,623335.1,268997.014978553,93.988,AM,45.915,3.147
URM-Cn-5872,Lobophyllia pachysepta,133152,12405218.6,9900375.7,10361901.3,7857058.44652058,79.361,AM,95.546,52.313
URM-Cn-5889,Scolymia vitiensis,133157,14204027.8,12775297.6,9749293.1,8320562.99282527,85.345,IUCN,76.314,64.497
URM-Cn-5787,Podabacia crustacea,133158,14787159.5,10377509.3,12474036.7,8064386.53389641,77.71,AM,83.193,62.976
URM-Cn-4715,Acropora austera,133160,15812518.4,11944364.2,12923431.6,9055277.34929456,75.812,AM,92.424,65.245
URM-Cn-5610,Platygyra contorta,133161,8806036.4,3972423.8,7781611.6,2947998.9982114,74.212,AM,51.049,39.286
URM-Cn-5921,Oculina varicosa,133165,2657620.8,1657570.2,2506096.1,1506045.49921892,90.859,AM,66.142,12.652
URM-Cn-5993,Stylophora mamillata,133169,1060228.9,833725.5,835443.1,608939.807438449,73.038,AM,99.794,4.218
SLB-62815,Echinophyllia aspera,133172,16111264.6,9456404.7,15027282.7,8372422.76746821,88.537,AM,62.928,75.867
URM-Cn-4896,Montipora efflorescens,133175,16196113.1,12778718.8,13646018,10228623.6569365,80.044,AM,93.644,68.893
SLB-117467,Coscinaraea exesa,133176,11811457.4,7189433.2,10574194.3,5952170.01363855,82.791,AM,67.99,53.385
URM-Cn-5472,Turbinaria patula,133177,10944566.7,6419322,10213256.6,5688011.89605542,88.608,AM,62.853,51.563
SLB-184808,Isopora brueggemanni,133182,13914874.2,10294916.3,10026454.4,6406496.51995508,63.896,IUCN,97.392,51.975
URM-Cn-5761,Fungia granulosa,133183,13664476.6,5994876.8,12904605.5,5235005.64431155,87.325,AM,46.455,65.15
URM-Cn-4900,Montipora floweri,133186,15318205.5,12323396.1,12226048.4,9231239.03056509,75.505,IUCN,99.21,62.216
URM-Cn-5947,Oxypora glabra,133192,10156005,2999712.1,9731317.4,2575024.56424342,85.842,AM,30.825,49.129
W-Oct-210725,Heliopora coerulea,133193,16881541.4,8485223.6,14984175.8,6587857.99675194,77.639,AM,56.628,75.649
URM-Cn-4893,Montipora digitata,133194,14424027.8,11638431.6,12124347.8,9338751.62409428,80.241,AM,95.992,61.211
SLB-93690,Acropora appressa,133195,1594725,1264631.7,1408688.4,1078595.00180115,85.289,AM,89.774,7.112
URM-Cn-5984,Pocillopora verrucosa,133197,18022464.5,15350510.3,15868599.4,13196645.1884846,85.969,AM,96.735,80.114
URM-Cn-5606,Oulophyllia crispa,133200,14656096.6,6344008.3,13865523.3,5553434.95600219,87.538,AM,45.754,70.001
URM-Cn-4840,Acropora tenella,133203,10517140.1,9913989.4,4543461.3,3940310.60163898,86.725,IUCN,45.829,50.052
URM-Cn-4819,Acropora roseni,133206,646186.6,417487.8,449539.3,220840.463095103,52.897,AM,92.87,2.27
URM-Cn-5567,Favites pentagona,133209,15338083.8,8618118.4,14209664.6,7489699.18850513,86.906,AM,60.65,71.739
URM-Cn-5554,Favia speciosa,133210,17292133.7,13384619.6,15372491.1,11464977.0042696,85.658,AM,87.069,77.609
URM-Cn-5915,Oculina diffusa,133212,2554325.4,2057589.7,2002238.4,1505502.75756797,75.191,IUCN,97.31,10.388
URM-Cn-5786,Lithophyllon undulatum,133213,7580864.8,2547098.7,7311167.9,2277401.71865093,89.412,AM,34.838,36.911
SLB-117470,Cycloseris erosa,133215,16418537.6,11404826,12486836.6,7473124.93952912,65.526,AM,91.335,63.041
SLB-118752,Cycloseris tenuis,133215,16418537.6,11404826,12486836.6,7473124.93952912,65.526,AM,91.335,63.041
URM-Cn-5777,Fungia tenuis,133215,16418537.6,11404826,12486836.6,7473124.93952912,65.526,AM,91.335,63.041
URM-Cn-6063,Porites lobata,133216,16921115.3,5724547.2,15847748.3,4651180.11327695,81.25,AM,36.122,80.009
SLB-158789,Meandrina danae,133217,2760172.3,2354492.7,2000252.9,1594573.35056883,79.719,IUCN,84.955,11.887
URM-Cn-4975,Pachyseris foliosa,133218,5244561.3,4248130.4,3518340.3,2521909.44961286,71.679,IUCN,82.821,21.447
URM-Cn-5486,Nemenzophyllia turbida,133219,6167088.2,4128052,5284605.2,3245568.93854483,78.622,AM,78.115,26.68
URM-Cn-4882,Montipora caliculata,133220,13304588.9,11449308.4,11246829.9,9391549.37227548,83.504,IUCN,98.232,57.803
URM-Cn-5975,Pocillopora damicornis,133222,19393050.5,11399100,15765060.1,7771109.56226658,68.173,AM,72.306,79.591
URM-Cn-4740,Acropora donei,133223,11859721.3,8128143.1,10892026.2,7160447.93085152,88.095,AM,74.625,54.989
SLB-93757,Astreopora expansa,133227,14302197.2,10753997.9,11797580.3,8249381.05258598,76.71,AM,91.154,59.561
SLB-117474,Cycloseris vaughani,133230,13829805.4,6011735,12618296.1,4800225.64742331,79.848,AM,47.643,63.705
URM-Cn-5517,Diploastrea heliopora,133231,15115169.6,10725560.1,13342394.1,8952784.53847003,83.471,AM,80.387,67.36
URM-Cn-4769,Acropora kimbeensis,133233,8328791.2,6679606.3,6018003.7,4368818.84108432,72.596,IUCN,90.095,33.723
URM-Cn-5907,Galaxea paucisepta,133236,6077885.7,2302536.2,5815995.9,2040646.39285055,88.626,AM,39.59,29.363
SLB-62474,Montastraea cavernosa,133237,7103201,6839159.7,3548164,3284122.77336886,92.558,IUCN,51.88,34.528
URM-Cn-4909,Montipora hispida,133238,15961073.9,13000469.4,13149855.2,10189250.6982485,78.376,AM,98.864,66.388
URM-Cn-4792,Acropora nasuta,133239,16799772.9,12720633.4,14529843.2,10450703.7111866,82.156,AM,87.548,73.355
URM-Cn-4982,Pavona clavus,133240,17578180.8,14958757.8,14635475.3,12016052.4001673,82.102,IUCN,97.839,75.521
URM-Cn-4989,Pavona frondifera,133242,16339786.3,13487624.3,10583238.6,7731076.61028658,73.05,IUCN,78.466,68.094
URM-Cn-5563,Favites flexuosa,133244,15206553.2,5169894.3,14746027.8,4709368.93001913,91.092,AM,35.06,74.447
URM-Cn-5846,Acanthastrea echinata,133246,17502831.9,14758379.5,14844139.3,12099686.9328172,81.985,AM,99.422,74.942
URM-Cn-4816,Acropora robusta,133248,15961582.9,12001813.4,13714029.1,9754259.62062655,81.273,AM,87.515,69.237
URM-Cn-4738,Acropora digitifera,133250,16245293.8,12217911,13901010.5,9873627.71018831,80.813,AM,87.892,70.181
URM-Cn-5996,Stylophora wellsi,133251,1677275.6,1438893.3,962227.8,723845.460509052,75.226,IUCN,66.873,7.264
URM-Cn-4846,Acropora tortuosa,133252,5922631.6,3014985.2,5225654.7,2318008.31371337,76.883,AM,57.696,26.382
URM-Cn-5860,Blastomussa wellsi,133253,14701291.1,12462962.5,10828076.7,8589748.09784503,79.328,IUCN,86.882,62.92
URM-Cn-4953,Agaricia humilis,133255,2187342,1848017.4,2047082.7,1707758.11122587,92.41,AM,90.276,10.335
URM-Cn-5481,Euphyllia glabrescens,133256,15791876.1,13249830.4,13813097.2,11271051.4495878,85.066,AM,95.922,69.737
URM-Cn-5495,Plerogyra sinuosa,133258,15039289.8,8887308.7,13589321.2,7437340.11248505,83.685,AM,65.399,68.607
URM-Cn-6149,Trachyphyllia geoffroyi,133260,19490498.7,18838082.7,12484397.7,11831981.6664614,94.774,IUCN,66.272,95.106
URM-Cn-4983,Pavona danai,133261,8296315.5,6538641.1,5933195.5,4175521.06078188,70.376,IUCN,90.74,33.011
URM-Cn-4868,Astreopora listeri,133267,13788152.7,11063606,11051082.2,8326535.50258078,75.346,IUCN,99.887,55.856
URM-Cn-5782,Heliofungia actiniformis,133269,11061624.5,7694004.6,8104306.1,4736686.23198063,61.563,AM,94.937,40.915
URM-Cn-4824,Acropora sarmentosa,133271,12221630.5,9185327.1,10642470.6,7606167.0896485,82.808,AM,86.308,53.73
URM-Cn-5954,Pectinia paeonia,133272,12183143.4,6425246.6,11437230.8,5679334.03874341,88.391,AM,56.178,57.742
URM-Cn-6040,Porites australiensis,133277,13609718.6,4707547.5,12494438,3592266.91427666,76.309,AM,37.677,63.079
URM-Cn-5963,Madracis formosa,133281,2286070.6,1907664.3,2114485.7,1736079.36175921,91.005,AM,90.219,10.675
URM-Cn-4718,Acropora batunai,133283,6426784.1,4996026.4,5278412.9,3847655.22861528,77.014,AM,94.65,26.649
