sciname,id_no,spp_group,popn_category,iucn_subpop,spatial_source
Mesothuria verrilli,180276,SEACUCUMBERS,DD,NA,iucn
Holothuria vittalonga,180335,SEACUCUMBERS,DD,NA,iucn
Holothuria zihuatanensis,180247,SEACUCUMBERS,DD,NA,iucn
Homeryon armarium,185079,LOBSTERS,DD,NA,iucn
Homesthes caulopus,184022,COMBTOOTHBLENNIES,DD,NA,iucn
Hypsoblennius caulopus,184022,COMBTOOTHBLENNIES,DD,NA,iucn
Hypsoblennius lignus,184022,COMBTOOTHBLENNIES,DD,NA,iucn
Hydrophis anomala,176742,SEASNAKES,DD,NA,iucn
Thalassophina anomala,176742,REPTILES,DD,NA,iucn
Thalassophina anomala,176742,SEASNAKES,DD,NA,iucn
Thalassophis anomalus,176742,REPTILES,DD,NA,iucn
Thalassophis anomalus,176742,SEASNAKES,DD,NA,iucn
Hydrophis cantoris,176713,REPTILES,DD,NA,iucn
Hydrophis cantoris,176713,SEASNAKES,DD,NA,iucn
Microcephalophis cantoris,176713,REPTILES,DD,NA,iucn
Microcephalophis cantoris,176713,SEASNAKES,DD,NA,iucn
Hydrophis geometricus,176730,REPTILES,DD,NA,iucn
Hydrophis geometricus,176730,SEASNAKES,DD,NA,iucn
Leioselasma czeblukovi,176730,REPTILES,DD,NA,iucn
Leioselasma czeblukovi,176730,SEASNAKES,DD,NA,iucn
Hydrophis klossi,176753,REPTILES,DD,NA,iucn
Hydrophis klossi,176753,SEASNAKES,DD,NA,iucn
Hydrophis pachycercos,176707,REPTILES,DD,NA,iucn
Hydrophis pachycercos,176707,SEASNAKES,DD,NA,iucn
Hydrophis parviceps,176749,REPTILES,DD,NA,iucn
Hydrophis parviceps,176749,SEASNAKES,DD,NA,iucn
Hydrophis vorisi,176768,REPTILES,DD,NA,iucn
Hydrophis vorisi,176768,SEASNAKES,DD,NA,iucn
Mesoplodon pacificus,40635,MARINE_MAMMALS,DD,NA,iucn
Iniistius cyanifrons,187380,WRASSE,DD,NA,iucn
Xyrichthys cyanifrons,187380,WRASSE,DD,NA,iucn
Iniistius geisha,187660,WRASSE,DD,NA,iucn
Iniistius javanicus,187487,WRASSE,DD,NA,iucn
Novacula javanica,187487,WRASSE,DD,NA,iucn
Xyrichtys javanicus,187487,WRASSE,DD,NA,iucn
Xyrichtys trivittatus,187412,WRASSE,DD,NA,iucn
Isopora cylindrica,133653,CORALS_Part1,DD,NA,iucn
Stichopus macroparentheses,180313,SEACUCUMBERS,DD,NA,iucn
Jasus caveorum,185085,LOBSTERS,DD,NA,iucn
Jasus paulensis,169980,LOBSTERS,DD,NA,iucn
Julis ascensionis,21689,WRASSE,DD,NA,iucn
Julis lessonii,21689,WRASSE,DD,NA,iucn
Julis sanctaehelenae,187377,WRASSE,DD,NA,iucn
Thalassoma sanctaehelenae,187377,WRASSE,DD,NA,iucn
Justitia chani,185007,LOBSTERS,DD,NA,iucn
Nupalirus chani,185007,LOBSTERS,DD,NA,iucn
Justitia vericeli,185025,LOBSTERS,DD,NA,iucn
Justitia longimanus,170097,LOBSTERS,DD,NA,iucn
Palinurus longimanus,170097,LOBSTERS,DD,NA,iucn
Kishinoella rara,170351,TUNAS_BILLFISHES,DD,NA,iucn
Kishinoella tonggol,170351,TUNAS_BILLFISHES,DD,NA,iucn
Neothunnus rarus,170351,TUNAS_BILLFISHES,DD,NA,iucn
Neothunnus tonggol,170351,TUNAS_BILLFISHES,DD,NA,iucn
Thunnus nicolsoni,170351,TUNAS_BILLFISHES,DD,NA,iucn
Thunnus rarus,170351,TUNAS_BILLFISHES,DD,NA,iucn
Thynnus tonggol,170351,TUNAS_BILLFISHES,DD,NA,iucn
Kogia simus,11048,MARINE_MAMMALS,DD,NA,iucn
Labidodemas pseudosemperianum,180484,SEACUCUMBERS,DD,NA,iucn
Labidodemas quadripartitum,180450,SEACUCUMBERS,DD,NA,iucn
Labidodemas spineum,180288,SEACUCUMBERS,DD,NA,iucn
Labrus quadrilineatus,187526,WRASSE,DD,NA,iucn
Lagocephalus cheesemanii,193737,PUFFERFISH,DD,NA,iucn
Sphoeroides cheesemanii,193737,PUFFERFISH,DD,NA,iucn
Tetrodon cheesemanii,193737,PUFFERFISH,DD,NA,iucn
Lagocephalus pseudommus,193809,PUFFERFISH,DD,NA,iucn
Takifugu pseudomus,193809,PUFFERFISH,DD,NA,iucn
Lappanella guineensis,187550,WRASSE,DD,NA,iucn
Laurentaeglyphea neocaledonica,185043,LOBSTERS,DD,NA,iucn
Lepilaena australis,173353,SEAGRASSES,DD,NA,iucn
Lepilaena marina,173359,SEAGRASSES,DD,NA,iucn
Lipophrys bauchotae,185187,COMBTOOTHBLENNIES,DD,NA,iucn
Microlipophrys bauchotae,185187,COMBTOOTHBLENNIES,DD,NA,iucn
Lithognathus olivieri,170255,SEABREAMS_PORGIES,DD,NA,iucn
Madracis carmabi,133544,CORALS_Part1,DD,NA,iucn
Malapterus reticulatus,187760,WRASSE,DD,NA,iucn
Petroskirtes anema,196307,COMBTOOTHBLENNIES,DD,NA,iucn
Meiacanthus erdmanni,48342283,COMBTOOTHBLENNIES,DD,NA,iucn
Meiacanthus phaeus,48342272,COMBTOOTHBLENNIES,DD,NA,iucn
Meseres atlanticus,180271,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas atlanticus,180271,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus atlanticus,180271,SEACUCUMBERS,DD,NA,iucn
Meseres globigerinae,180259,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas involutus,180259,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus globigerinae,180259,SEACUCUMBERS,DD,NA,iucn
Meseres peripatus,180459,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus peripatus,180459,SEACUCUMBERS,DD,NA,iucn
Meseres spiculiferum,180415,SEACUCUMBERS,DD,NA,iucn
Meseres spiculiferus,180415,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus spiculiferus,180415,SEACUCUMBERS,DD,NA,iucn
Mesoplodon bahamondi,41760,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon gervaisi,13245,MARINE_MAMMALS,DD,NA,iucn
Mesoplodon hotaula,13246,MARINE_MAMMALS,DD,NA,iucn
Mesothuria abberviata,180339,SEACUCUMBERS,DD,NA,iucn
Mesothuria bifurcata,180262,SEACUCUMBERS,DD,NA,iucn
Mesothuria candelabra,180462,SEACUCUMBERS,DD,NA,iucn
Mesothuria candelabri,180462,SEACUCUMBERS,DD,NA,iucn
Mesothuria carnosa,180434,SEACUCUMBERS,DD,NA,iucn
Mesothuria cathedralis,180214,SEACUCUMBERS,DD,NA,iucn
Mesothuria connectens,180345,SEACUCUMBERS,DD,NA,iucn
Mesothuria crebrapedes,180505,SEACUCUMBERS,DD,NA,iucn
Mesothuria edwardensis,19718565,SEACUCUMBERS,DD,NA,iucn
Mesothuria holothurioides,19719775,SEACUCUMBERS,DD,NA,iucn
Mesothuria incerta,19719847,SEACUCUMBERS,DD,NA,iucn
Mesothuria marginata,19743693,SEACUCUMBERS,DD,NA,iucn
Mesothuria maroccana,180517,SEACUCUMBERS,DD,NA,iucn
Mesothuria milleri,180546,SEACUCUMBERS,DD,NA,iucn
Mesothuria multipora,19720058,SEACUCUMBERS,DD,NA,iucn
Mesothuria oktaknemoides,19720743,SEACUCUMBERS,DD,NA,iucn
Mesothuria oktaknemus,19720826,SEACUCUMBERS,DD,NA,iucn
Mesothuria regularia,180333,SEACUCUMBERS,DD,NA,iucn
Mesothuria squamosa,19720909,SEACUCUMBERS,DD,NA,iucn
Mesothuria sufflava,180409,SEACUCUMBERS,DD,NA,iucn
Mesothuria triradiata,180379,SEACUCUMBERS,DD,NA,iucn
Metanephrops arafurensis,170040,LOBSTERS,DD,NA,iucn
Metanephrops armatus,170003,LOBSTERS,DD,NA,iucn
Metanephrops rubellus,169959,LOBSTERS,DD,NA,iucn
Metanephrops sagamiensis,169971,LOBSTERS,DD,NA,iucn
Metanephrops taiwanicus,185063,LOBSTERS,DD,NA,iucn
Millepora braziliensis,133362,CORALS_Part3,DD,NA,iucn
Millepora nitida,132999,CORALS_Part3,DD,NA,iucn
Molpadiodemas crinitus,180527,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas depressus,180282,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus depressus,180282,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas helios,180253,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas morbillus,180482,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas neovillosus,180292,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas pediculus,180536,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas pustulosus,180456,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus pustulosus,180456,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas translucens,180294,SEACUCUMBERS,DD,NA,iucn
Molpadiodemas ustulatus,180445,SEACUCUMBERS,DD,NA,iucn
Montigyra kenti,132982,CORALS_Part1,DD,NA,iucn
Montipora echinata,133072,CORALS_Part1,DD,NA,iucn
Montipora kellyi,133282,CORALS_Part3,DD,NA,iucn
Montipora pachytuberculata,133454,CORALS_Part3,DD,NA,iucn
Mussismilia braziliensis,133586,CORALS_Part1,DD,NA,iucn
Mycteroperca cidi,14048,GROUPERS,DD,NA,iucn
Neostichopus grammatus,180521,SEACUCUMBERS,DD,NA,iucn
Nephropsis holthuisi,184990,LOBSTERS,DD,NA,iucn
Nephropsis malhaensis,169977,LOBSTERS,DD,NA,iucn
Oculina tenella,132961,CORALS_Part1,DD,NA,iucn
Omobranchus robertsi,48342358,COMBTOOTHBLENNIES,DD,NA,iucn
Omobranchus steinitzi,48342141,COMBTOOTHBLENNIES,DD,NA,iucn
Otaria byronia,41665,MARINE_MAMMALS,LC,NA,iucn
Oxypora convoluta,133562,CORALS_Part1,DD,NA,iucn
Oxypora egyptensis,133608,CORALS_Part1,DD,NA,iucn
Paelopatides atlantica,180344,SEACUCUMBERS,DD,NA,iucn
Paelopatides confundens,180325,SEACUCUMBERS,DD,NA,iucn
Paelopatides dissidens,19742996,SEACUCUMBERS,DD,NA,iucn
Paelopatides gigantea,180365,SEACUCUMBERS,DD,NA,iucn
Paelopatides grisea,180273,SEACUCUMBERS,DD,NA,iucn
Paelopatides illicitus,19743016,SEACUCUMBERS,DD,NA,iucn
Paelopatides insignis,19743022,SEACUCUMBERS,DD,NA,iucn
Paelopatides modestus,19743032,SEACUCUMBERS,DD,NA,iucn
Paelopatides mollis,19743037,SEACUCUMBERS,DD,NA,iucn
Paelopatides ovalis,19743044,SEACUCUMBERS,DD,NA,iucn
Paelopatides quadridens,180250,SEACUCUMBERS,DD,NA,iucn
Paelopatides solea,180208,SEACUCUMBERS,DD,NA,iucn
Paelopatides suspecta,19743056,SEACUCUMBERS,DD,NA,iucn
Paelopatides verrucosus,19743065,SEACUCUMBERS,DD,NA,iucn
Palinurus barbarae,185008,LOBSTERS,DD,NA,iucn
Panulirus marginatus,170067,LOBSTERS,DD,NA,iucn
Palinustus holthuisi,185009,LOBSTERS,DD,NA,iucn
Panulirus brunneiflagellum,170091,LOBSTERS,DD,NA,iucn
Panulirus pascuensis,170057,LOBSTERS,DD,NA,iucn
Paracheilinus dispilus,187666,WRASSE,DD,NA,iucn
Synallactes elongata,19743237,SEACUCUMBERS,DD,NA,iucn
Parastichopus nigripunctatus,180382,SEACUCUMBERS,DD,NA,iucn
Perizona magna,19743072,SEACUCUMBERS,DD,NA,iucn
Paroriza pallens,180350,SEACUCUMBERS,DD,NA,iucn
Paroriza prohoi,180261,SEACUCUMBERS,DD,NA,iucn
Paroriza verrucosa,19725134,SEACUCUMBERS,DD,NA,iucn
Parribacus perlatus,170090,LOBSTERS,DD,NA,iucn
Pavona xarifae,133455,CORALS_Part1,DD,NA,iucn
Pectinia crassa,133241,CORALS_Part1,DD,NA,iucn
Pelagocephalus coheni,64528661,PUFFERFISH,DD,NA,iucn
Peristichopus papillatus,180224,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus papillatus,180224,SEACUCUMBERS,DD,NA,iucn
Petroskirtes heyligeri,180982,COMBTOOTHBLENNIES,DD,NA,iucn
Phenablennius heyligeri,180982,COMBTOOTHBLENNIES,DD,NA,iucn
Pictilabrus brauni,187557,WRASSE,DD,NA,iucn
Plagiotremus iosodon,180126,COMBTOOTHBLENNIES,DD,NA,iucn
Plectropoma maculatum,132801,GROUPERS,DD,NA,iucn
Plectropoma punctatum,132801,GROUPERS,DD,NA,iucn
Plerogyra diabolotus,133347,CORALS_Part3,DD,NA,iucn
Pomacentrus otophorus,188471,DAMSELFISH,DD,NA,iucn
Porites baueri,133421,CORALS_Part1,DD,NA,iucn
Porites decasepta,133610,CORALS_Part3,DD,NA,iucn
Porites ericacea,133703,CORALS_Part3,DD,NA,iucn
Porites evermanni,132938,CORALS_Part1,DD,NA,iucn
Porites excavata,133286,CORALS_Part3,DD,NA,iucn
Porites flavus,133561,CORALS_Part1,DD,NA,iucn
Prionurus chrysurus,177956,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Prionurus scalprus,177952,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Xesurus scalprum,177952,SURGEONFISH_TANGS_UNICORNFISH,DD,NA,iucn
Psammocora interstinctus,132989,CORALS_Part3,DD,NA,iucn
Psammocora verrilli,133328,CORALS_Part3,DD,NA,iucn
Scyllarides latus,169983,LOBSTERS,DD,NA,iucn
Pseudocoris aequalis,187789,WRASSE,DD,NA,iucn
Pseudocoris ocellatus,187611,WRASSE,DD,NA,iucn
Pseudojulis cerasina,187626,WRASSE,DD,NA,iucn
Pseudojuloides cerasina,187626,WRASSE,DD,NA,iucn
Pseudolabrus cerasina,187626,WRASSE,DD,NA,iucn
Pseudojuloides elongatus,187480,WRASSE,DD,NA,iucn
Pseudojuloides xanthomos,187776,WRASSE,DD,NA,iucn
Pseudoscarus chinensis,190764,WRASSE,DD,NA,iucn
Scarus chinensis,190764,WRASSE,DD,NA,iucn
Pseudoscarus plumbeus,190720,WRASSE,DD,NA,iucn
Pseudoscarus simplex,190720,WRASSE,DD,NA,iucn
Scarus rostratus,190720,WRASSE,DD,NA,iucn
Pseudostichopus aemaulatus,180209,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus echinatus,180432,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus langeae,19743108,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus occulatatus,180506,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus profundi,180454,SEACUCUMBERS,DD,NA,iucn
Pseudostichopus tuberosus,180460,SEACUCUMBERS,DD,NA,iucn
Rastrelliger neglectus,170318,TUNAS_BILLFISHES,DD,NA,iucn
Scomber brachysoma,170318,TUNAS_BILLFISHES,DD,NA,iucn
Scomber neglectus,170318,TUNAS_BILLFISHES,DD,NA,iucn
Rastrelliger serventyi,170328,TUNAS_BILLFISHES,DD,NA,iucn
Rastrilleger kanagurta,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber canagurta,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber chrysozonus,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber delphinalis,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber kanagurta,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber lepturus,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber loo,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber microlepidotus,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber moluccensis,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber reani,170328,TUNAS_BILLFISHES,DD,NA,iucn
Scomber uam,170328,TUNAS_BILLFISHES,DD,NA,iucn
Rhabdoblennius papuensis,48342143,COMBTOOTHBLENNIES,DD,NA,iucn
Rhabdosargus niger,47260360,SEABREAMS_PORGIES,DD,NA,iucn
Ruppia filifolia,173362,SEAGRASSES,DD,NA,iucn
Scarus axillaris,190751,WRASSE,DD,NA,iucn
Scarus spinidens,190751,WRASSE,DD,NA,iucn
Scarus frondosus,190724,WRASSE,DD,NA,iucn
Scarus obishime,190716,WRASSE,DD,NA,iucn
Scarus zelindae,190760,WRASSE,DD,NA,iucn
Scarus zufar,190752,WRASSE,DD,NA,iucn
Scyllarides astori,170020,LOBSTERS,DD,NA,iucn
Scyllarides obtusus,185057,LOBSTERS,DD,NA,iucn
Scyllarides roggeveeni,170022,LOBSTERS,DD,NA,iucn
Scyllarus paradoxus,185095,LOBSTERS,DD,NA,iucn
Scyllarus planorbis,185016,LOBSTERS,DD,NA,iucn
Scyllarus subarctus,184999,LOBSTERS,DD,NA,iucn
Sotalia guianensis,181359,MARINE_MAMMALS,DD,NA,iucn
Spaniblennius clandestinus,185177,COMBTOOTHBLENNIES,DD,NA,iucn
Sparidentex belayewi,170236,SEABREAMS_PORGIES,DD,NA,iucn
Sparidentex datnia,170163,SEABREAMS_PORGIES,DD,NA,iucn
Sparisoma griseorubrum,190696,WRASSE,DD,NA,iucn
Spheroides nitidus,193743,PUFFERFISH,DD,NA,iucn
Sphoeroides nitidus,193743,PUFFERFISH,DD,NA,iucn
Sphoeroides andersonianus,193620,PUFFERFISH,DD,NA,iucn
Sphoeroides georgemilleri,193679,PUFFERFISH,DD,NA,iucn
Stenella plagiodon,20732,MARINE_MAMMALS,DD,NA,iucn
Stichopus anapinusus,180513,SEACUCUMBERS,DD,NA,iucn
Stichopus ellipes,180237,SEACUCUMBERS,DD,NA,iucn
Stichopus ludwigi,180391,SEACUCUMBERS,DD,NA,iucn
Stichopus ocellatus,180535,SEACUCUMBERS,DD,NA,iucn
Stichopus paradoxus,180341,SEACUCUMBERS,DD,NA,iucn
Stichopus pseudohorrens,180363,SEACUCUMBERS,DD,NA,iucn
Stichopus quadrifasciatus,180524,SEACUCUMBERS,DD,NA,iucn
Stichopus rubermaculosus,180322,SEACUCUMBERS,DD,NA,iucn
Stylocoeniella muscosus,133221,CORALS_Part3,DD,NA,iucn
Suezichthys russelli,187778,WRASSE,DD,NA,iucn
Synallactes angustus,180480,SEACUCUMBERS,DD,NA,iucn
Synallactes chuni,19743205,SEACUCUMBERS,DD,NA,iucn
Synallactes crebrapapilla,180522,SEACUCUMBERS,DD,NA,iucn
Synallactes discoidalis,19743226,SEACUCUMBERS,DD,NA,iucn
Synallactes laguardai,180473,SEACUCUMBERS,DD,NA,iucn
Synallactes longipapillata,19743327,SEACUCUMBERS,DD,NA,iucn
Synallactes mollis,180305,SEACUCUMBERS,DD,NA,iucn
Synallactes multivesiculatus,19743348,SEACUCUMBERS,DD,NA,iucn
Synallactes pellucidus,19716630,SEACUCUMBERS,DD,NA,iucn
Synallactes rigidus,19743545,SEACUCUMBERS,DD,NA,iucn
Synallactes robertsoni,180358,SEACUCUMBERS,DD,NA,iucn
Synallactes samyni,19743628,SEACUCUMBERS,DD,NA,iucn
Synallactes triplax,19716454,SEACUCUMBERS,DD,NA,iucn
Synallactes viridilimus,180422,SEACUCUMBERS,DD,NA,iucn
Takifugu basilevskianus,193781,PUFFERFISH,DD,NA,iucn
Tetrodon basilevskianus,193781,PUFFERFISH,DD,NA,iucn
Takifugu variomaculatus,193680,PUFFERFISH,DD,NA,iucn
Tetraodon implutus,193721,PUFFERFISH,DD,NA,iucn
Tetrapturus illingworthi,170315,TUNAS_BILLFISHES,DD,NA,iucn
Tetrapturus kraussi,170315,TUNAS_BILLFISHES,DD,NA,iucn
Thalassoma septemfasciatum,187486,WRASSE,DD,NA,iucn
Thaumastochelopsis brucei,184992,LOBSTERS,DD,NA,iucn
Thaumastochelopsis wardi,170074,LOBSTERS,DD,NA,iucn
Thelenota rubralineata,180285,SEACUCUMBERS,DD,NA,iucn
Thenus australiensis,185075,LOBSTERS,DD,NA,iucn
Thenus indicus,185014,LOBSTERS,DD,NA,iucn
Thenus parindicus,185056,LOBSTERS,DD,NA,iucn
Thenus unimaculatus,185092,LOBSTERS,DD,NA,iucn
Thymopides laurentae,185004,LOBSTERS,DD,NA,iucn
Wetmorella tanakai,187449,WRASSE,DD,NA,iucn
Willemoesia forceps,185082,LOBSTERS,DD,NA,iucn
Willemoesia inornata,185094,LOBSTERS,DD,NA,iucn
Xyrichtys koteamea,187469,WRASSE,DD,NA,iucn
Xyrichtys rajagopalani,187376,WRASSE,DD,NA,iucn
Xyrichtys sciistius,187686,WRASSE,DD,NA,iucn
